Day,Group,Metric,Unit,Amount
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,137.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,137.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,114.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,114.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,105.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,105.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,105.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,105.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,104.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,104.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,99.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,99.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,101.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,101.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,100.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,100.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,101.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,101.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,100.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,100.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,99.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,99.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,97.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,97.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,98.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,98.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,99.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,99.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,98.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,98.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,98.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,98.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,98.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,98.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,95.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,95.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,104.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,104.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,103.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,101.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,101.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,105.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,105.0
2026-04-24,Uncategorized,"Heart Rate (Apple Health)",bpm,97.0
